Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,VOLUME DU COFFRE MAXIMAL,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,SYSTÈME DE DESCENTE EN CÔTE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,INSTRUMENTATION DIGITALE,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,ALARME ANTIVOL,ALERTE DE RISQUE DE COLLISION,BARRE STABILISATRICE,AIDE AU MAINTIEN DANS LA VOIE,CONDUITE AUTONOME,DIRECTION ASSISTÉE,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,PEINTURE,POIGNÉES DE PORTES,POMMEAU DE LEVIER DE VITESSE,BOUTON START & STOP,CLÉ INTELLIGENTE,CALANDRE,FINITION INTÉRIEURE,VITRES,PUISSANCE THERMIQUE (CH.DIN),PUISSANCE ÉLECTRIQUE,BATTERIE,COUPLE ÉLECTRIQUE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),KIT SÉCURITÉ,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,KIT RANGEMENT,ANTIBROUILLARDS,ORDINATEUR DE BORD,RÉTROVISEUR INTÉRIEUR,EMISSIONS DE CO2,CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,SURVEILLANCE D’ANGLE MORT,SEUILS DE PORTES,BARRES DE TOIT,CHARGE UTILE,TABLEAU DE BORD,SPOILER ARRIÈRE,Ancien Prix,NOMBRE DE MOTEURS ÉLECTRIQUES,VOLUME DU COFFRE AVANT,CAPACITÉ DE RECHARGE MAXIMALE (AC),LUMIÈRES D'AMBIANCE,PÉDALIERS,DIFFÉRENTIEL AUTOBLOQUANT,CONTRÔLE DU ROULIS DE LA REMORQUE,LIMITEUR DE VITESSE,KIT CARROSSERIE,NAVIGATION,CONNECTED DRIVE,TAPIS DE SOL,DÉTECTEUR DE FATIGUE,VOLUME UTILE,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,BOULE D'ATTELAGE,CAMÉRA D'ANGLE MORT,TRAIN ROULANT,SURFACE DE CHARGEMENT,CIEL DE PAVILLON,SORTIES D’ÉCHAPPEMENT,FREINAGE,SUSPENSION,PORTES EN ÉLYTRE,STORES PARE-SOLEIL
"HYUNDAI TUCSON
1.6 L T-GDI 7-DCT 4WD TOP GRADE",Version unique,180 000 DT,Non,Disponible,SUV,5 ans,5,5,4,Essence,10 CV,180 CH,265 nm 1500 tr/min,1598 CM³,Automatique,7,Intégrale,4500 mm,1865 mm,1650 mm,539 L,,9 s,201 KM/H,6.3 L/100 km,Frontaux | Latéraux | Rideaux | Centraux,ESP,EBD | DBC | Freinage automatique anti-collision (AEB) | FCA,,HAC,Radar de recul | Radar avant | Système de caméras 360,,DBC,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,6 haut-parleurs | Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Arrière | Avant conducteur,,Cuir,Électriques | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/tucson/1.6-l-t-gdi-7-dct-4wd-top-grade,7.9 L/100 km,5.4 L/100 km,Périmétrique,,,LKA | LFA,,Électrique,Adaptatif (ACC),,Rétroviseurs,,Chromées,Cuir,Démarrage mains libres,Accès mains libres,Noire,,Parebrise athermique | Lunette et vitres arrières sur-teintées,,,,,,,,Chrome,Poches aumônières | Porte-lunettes,LED,,Anti-éblouissement,,,,,,,,,Baguettes dans les baies de porte,,,Cuir,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,
"SSANGYONG TORRES
1.5 L T-GDI 4WD BVA",Version unique,184 580 DT,Non,Indisponible,SUV,3 ans ou 100.000 km,5,5,4,Essence,9 CV,163 CH,280 nm 1500 tr/min,1497 CM³,Automatique,6,Intégrale,4700 mm,1890 mm,1710 mm,703 L,,9.4 s,191 KM/H,8.5 L/100 km,Frontaux | Latéraux,ESP,,TPMS,Autohold,Radar de recul | Radar avant | Caméra de recul | Détection du trafic en marche arrière,,,Feux de jour | Avant | Arrières,En aluminium | 20'',Full LED,4 haut-parleurs | Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | iPod | Chargeur de téléphone sans fil,Tactile | 9 pouces,Avant | Arrière,,Cuir | Nappa,Conducteur à réglage électrique | Chauffants | Ventilés | Réglage lombaire,Conducteur et passager,Ouvrant,Cuir | Chauffant | Multi-fonctions | Avec palettes,En hauteur,2 prises 12 V,Ouverture et fermeture motorisées | Cache Bagages,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Winter,Électriques | Rabattables | Avec clignotants intégrés | Éclairage d'accueil à LED,12.5 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/ssangyong/torres/1.5-l-t-gdi-bva,,,,,,LKA,,Électrique,Cruise control,,Pare-chocs | Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres,Chromée,Chromée,Teintées | Lunette et vitres arrières sur-teintées | Acoustiques,,,,,,,,Chrome,,,,Anti-éblouissement,,,,,LDW,,,BSD,,,,,,,,,,30 Couleurs,,,,,,,,,DAW,,,,,,,,,,,,,
HYUNDAI TUCSON HYBRIDE,1.6 l T-GDI 2WD Intuitive BVA 6,169 950 DT,Non,Disponible,SUV,5 ans,5,5,4,Essence | Hybride,9 CV,230 CH,350 nm 1500 tr/min,1598 CM³,Automatique,6,Traction,4500 mm,1865 mm,1650 mm,539 L,,8 s,193 KM/H,4.7 L/100 km,Frontaux | Latéraux | Rideaux | Centraux,ESP,DBC,,HAC,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Arrière,3,Cuir,Électriques | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,2 prises 12 V,Ouverture et fermeture motorisées,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique,Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/tucson-hybride/1.6-l-t-gdi-bva-6-2wd-intuitive#specs,4.8 L/100 km,4.6 L/100 km,Périmétrique,,,,,Électrique,,,Rétroviseurs,,Chromées,Cuir,Démarrage mains libres,Accès mains libres,Noire,,Athermiques,,,,,,,,Chrome,Pack vide-poches et coffre à bagages | Poches aumônières,LED,,Anti-éblouissement,,,,,,,,,Baguettes dans les baies de porte,,,Cuir,,,,,,,,,,,,GPS,,,,,,,,,,,,,,,,
"MINI 3 PORTES
1.5 L JOHN COOPER WORKS",Version unique,185 900 DT,Non,Disponible,Citadine,5 ans (2+3),5,3,3,Essence,8 CV,156 CH,230 nm 1400 tr/min,1499 CM³,Automatique,6,Traction,3863 mm,1727 mm,1414 mm,210 L,,7.7 s,225 KM/H,5.5 L/100 km,Frontaux | Latéraux | Rideaux,,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Feux de jour | Avant | Arrières,En aluminium | 18'' | Bi-ton,Full LED,12 haut-parleurs | Harman/Kardon | Commandes au volant | Radio numérique DAB,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile,Avant,,Schwarz | Vescin | Tricot,Électriques | Chauffants | Fonction mémoire | Sport,Conducteur et passager,Ouvrant | Panoramique | En verre,Cuir | Chauffant | Multi-fonctions | Sport,En hauteur et en profondeur,,Ouverture et fermeture motorisées | Cache Bagages,Automatique | Bizone,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants,,Avant,https://www.automobile.tn/fr/neuf/mini/3-portes/1.5-l-john-cooper-works,,,,RCW,,,,,Driving Assistant Plus,,,,,,Démarrage mains libres,Accès mains libres,,,Calorifuges,,,,,,,Triangle de présignalisation | Trousse de premiers secours,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,John Cooper Works,GPS,Teleservices | Connected+ Unlimited,Velours,,,,,,,,,Anthracite,,Sport John Cooper Works,Adaptative,,
VOLVO XC40,2.0 L Plus Dark,189 900 DT,Oui,Disponible,SUV,3 ans ou 100.000 km,5,5,4,Essence | Hybride léger,9 CV,163 CH,265 nm 1500 tr/min,1969 CM³,Automatique,7,Traction,4440 mm,1863 mm,1652 mm,443 L,,8.6 s,180 KM/H,6.6 L/100 km,Frontaux | Latéraux | Rideaux | Genoux conducteur,ESC | STC,EBD | Freinage automatique anti-collision (AEB) | VDC,,,Radar de recul | Radar avant | Caméra de recul | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED | Adaptatifs,8 haut-parleurs | Commandes au volant | YouTube / Amazon Prime,4 USB-C | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 9 pouces,Avant | Arrière,3 | Réglage électrique,Tissu,Électriques | Réglage lombaire | Fonction mémoire,Conducteur et passager,,Similicuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | Bizone,À distance,Éléctrique,Sport,Électriques | Rabattables | Dégivrants | Mémoire de position,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/volvo/xc40/2.0-l-plus-dark-23#specs,5.6 L/100 km,6.8 L/100 km,,,,,,,,,,,,Sport,Démarrage mains libres,Accès mains libres,Noire,Aluminium brossé,Lunette et vitres arrières sur-teintées,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Noir Brillant,,,,Anti-éblouissement,,,,,,,,,Aluminium,Noires,,,,192.900 DT,,,,,,,,,Dark,,,,,,,,,,,,,,,,,
"MINI COUNTRYMAN ELECTRIC
42.5 KWH FAVOURED",Version unique,189 900 DT,Non,Disponible,Citadine,5 ans (2+3),4,5,,Electrique,N.C. CV,204 CH,250 nm 0 tr/min,,Automatique,,Traction,4445 mm,1843 mm,1635 mm,460 L,,8.6 s,170 KM/H,,Frontaux | Latéraux | Protège-tête,DSC,Freinage automatique anti-collision (AEB),,Autohold,Radar de recul | Radar avant | Système de caméras 360 | Park distance control | Parkassit Plus,,,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED | Adaptatifs,12 haut-parleurs | Harman/Kardon | Commandes au volant | Radio numérique DAB,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 9.4 pouces | Circulaire | OLED,Avant,,Vescin | Vintage Brown,Électriques | Réglage lombaire | Fonction mémoire | Sport,Conducteur et passager,Ouvrant | Panoramique,Cuir | Chauffant | Multi-fonctions | Sport,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique,À distance,Éléctrique,Normal | Sport | Eco | MINI Experience,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,,Avant/Arrière,https://www.automobile.tn/fr/neuf/mini/countryman-electric/42.5-kwh-favoured,,,,FCW,,,,,Avec fonction freinage | Driving Assistant,,,Métallisée,,,Démarrage mains libres,Accès mains libres,,,Calorifuges,,,42.5 kWh,,462 km,,Triangle de présignalisation | Trousse de premiers secours,,,,,Anti-éblouissement,,15.7 kWh/100 km,6.5 heures,30 minutes,LDW,,,,,Noires,,,,,1,,,,,,,,,GPS | Réalité augmentée,eSim | Teleservices | Connected+ Unlimited | Connected+,,,,,,,,,,Anthracite,,,,,
"HONDA ACCORD
1.5 L CVT",Version unique,189 990 DT,Non,Disponible,Berline,3 ans,5,4,4,Essence,10 CV,182 CH,233 nm 1700 tr/min,1498 CM³,Automatique,,Traction,4971 mm,1862 mm,1452 mm,473 L,,8.3 s,200 KM/H,6.5 L/100 km,Frontaux | Latéraux | Rideaux | Genoux,VSA,EBA | EBD | ESS | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | EBB,,Autohold | HSA,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED,12 haut-parleurs | Haut-parleurs Bose | Commandes au volant,Android Auto | 4 USB-C | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Arrière,,Cuir perforé,Conducteur à réglage électrique | 8 directions | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant,Cuir | Multi-fonctions,En hauteur et en profondeur,,,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,10.2 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/accord/1.5-l-turbo-24,8.7 L/100 km,5.2 L/100 km,,FCW,,LKA,,EPS | Électrique,Adaptatif (ACC) | Cruise control,,,,,Cuir,Démarrage mains libres,Accès mains libres | Démarrage à distance,,Noir brillant,,,,,,,,,Chrome,Porte-lunettes,LED,,,,,,,LDW,,HBSS,,,,,,,,,,,,,,,,,,,,,,,,,Lane Watch,,,,,,,,
"HONDA CR-V
1.5 T CVT",Version unique,190 990 DT,Non,Disponible,SUV,3 ans,7,5,4,Essence,11 CV,190 CH,240 nm 2000 tr/min,1498 CM³,Automatique,,Intégrale,4706 mm,1866 mm,1690 mm,,,8.7 s,200 KM/H,8.4 L/100 km,Frontaux | Latéraux | Rideaux | Genoux,VSA,EBA | EBD | ESS | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | EBB,TPMS,Hill assist,Radar de recul | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,Commandes au volant,Android Auto | 4 USB | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 9 pouces,Avant | Arrière,,Cuir perforé,Électriques | 12 directions | Fonction mémoire,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées | Ouverture mains libres | Ouverture à distance,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,10.2 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/cr-v/1.5-t-cvt-2025,9.1 L/100 km,7.6 L/100 km,,,,LKA | RDM,,EPS | Électrique,Adaptatif (ACC),,Pare-chocs | Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,,,,,,,,,Chrome,Porte-lunettes,LED,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lane Watch,,,,,,,,
"GWM TANK 300 HEV
2.0 L",Version unique,194 900 DT,Non,En pré-commande,SUV,5 ans ou 150000 km | Batterie garantie 8 ans ou 150000 km,5,5,4,Essence | Hybride,14 CV,350 CH,648 nm 1400 tr/min,1998 CM³,Automatique,9,Intégrale,4760 mm,1927 mm,1930 mm,400 L,1635 L,6.8 s,170 KM/H,8.4 L/100 km,Frontaux | Latéraux | Rideaux,ESC | ESP,AFU | EBA | BAS | Freinage automatique anti-collision (AEB),,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED | Adaptatifs,9 haut-parleurs | Infinity,USB | USB-C | Android Auto | Apple Carplay | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Arrière,,Similicuir,Électriques | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,1 prise 12 V | 220 V,,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco | Boue | Sable | Neige | Expert,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/great-wall/tank-300/2.0-l,,,Périmétrique,FCW,,LKA,Niveau 2 | TJA,Électrique,Adaptatif (ACC),TSR,,,,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées,,,,,,,,,Porte-lunettes,,,Anti-éblouissement,,,,,LDW,RCTA,,BSD,,,,,,,,,,64 couleurs,,Arrière | Avant | Central,,,,Boussole | Altimètre,,,,,,,,,,,,,,,,
VOLKSWAGEN AMAROK,2.0 L TDI 170 ch 4x4 Life BVA,196 980 DT,Non,Disponible,Pick up,3 ans,5,4,4,Diesel,5 CV,170 CH,405 nm 1750 tr/min,1996 CM³,Automatique,6,Intégrale,5350 mm,1910 mm,1884 mm,,,11.6 s,180 KM/H,7.7 L/100 km,Frontaux | Latéraux | Rideaux | Genoux | Centraux,ESP,,,,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour,En aluminium | 17'',LED,6 haut-parleurs,USB | USB-C | Bluetooth | Commande vocale,Tactile | 10.1 pouces,Avant | Arrière,3,Tissu,,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,,Manuelle,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés | Éclairage d'accueil à LED,Digital Cockpit | 8 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/volkswagen/amarok/2.0-l-tdi-4x4-bva-life-double-cabine#specs,9.5 L/100 km,6.7 L/100 km,,,,,,,,,Pare-chocs | Poignées de portes | Rétroviseurs,,,Cuir,,,Noire,,Lunette et vitres arrières sur-teintées | Pare-brise en verre feuilleté,,,,,,,,,,LED,,,203 g/km,,,,,,,,,,,,,,,,,,,Arrière,,,,,,,,,,,,,,,,,,,,
"ALFA ROMEO GIULIA
2.0 TURBO SUPER BVA",Version unique,198 000 DT,Non,Indisponible,Berline,3 ans,5,4,4,Essence,11 CV,200 CH,330 nm 1750 tr/min,1995 CM³,Automatique,8,Propulsion,4643 mm,1860 mm,1436 mm,480 L,,6.6 s,235 KM/H,5.9 L/100 km,Frontaux | Latéraux | Rideaux,ESP | ASR,Active City Brake | AFU | EBD,,,Radar de recul | Radar avant,,,Avant | Arrières,En aluminium | 17'',Bi-xénon,8 haut-parleurs | Commandes au volant,2 USB | AUX | Bluetooth,7 pouces,Avant | Arrière,3,Cuir,Électriques | Fonction mémoire,Conducteur et passager,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique | Bizone,À distance,,,Électriques | Rabattables | Dégivrants,,Avant/Arrière,https://www.automobile.tn/fr/neuf/alfa-romeo/giulia/2.0-turbo-bva-super,8.4 L/100 km,4.6 L/100 km,,,,,,,Adaptatif (ACC),,,,,Cuir,Démarrage mains libres,,,Bois,Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JETOUR T2
2.0 TURBO",Version unique,198 000 DT,Non,Disponible,SUV,5 ans ou 100000 km,5,5,4,Essence,14 CV,254 CH,390 nm 1750 tr/min,1998 CM³,Automatique,7,Intégrale,4785 mm,2006 mm,1880 mm,580 L,1494 L,8.7 s,180 KM/H,8.8 L/100 km,Frontaux | Latéraux,ESP | TCS,BAS | EBD,TPMS,,Radar de recul | Radar avant | Système de caméras 360,,HDC,Feux de jour | Avant | Arrières,En aluminium | 20'',Full LED,12 haut-parleurs | Commandes au volant,2 USB | 2 USB-C | Android Auto | Apple Carplay | Bluetooth | Wifi | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 15.6 pouces,Avant | Arrière,3,Cuir,Électriques | Chauffants | Ventilés,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V,Soft close,Automatique | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco | X Smart | Tout-terrain,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/jetour/t2/2.0-turbo,,,,,,,,EPS | Électrique,,,,Métallisée,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,,,,,,,,,,,,,Anti-éblouissement,,,,,,,,BSD,,Aluminium,,,,,,,,LED,,,,,,,,,,,,,,,,,,,,,,
"AUDI Q3
35 TFSI ADVANCED LINE S-TRONIC",Version unique,199 000 DT,Non,Disponible,SUV,3 ans,5,5,4,Essence,9 CV,150 CH,250 nm 1500 tr/min,1498 CM³,Automatique,6,Traction,4500 mm,1843 mm,1576 mm,530 L,,9.4 s,205 KM/H,5.7 L/100 km,Frontaux | Latéraux | Protège-tête,ESP,,,Audi hold assist,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,,Feux de jour | Avant | Arrières,En aluminium | 17'' | 5 branches,LED,10 haut-parleurs | MMI Radio Plus | MMI Touch | Commandes au volant | Système Audio Audi (180W),USB | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil | Audi smartphone interface,Tactile | 8.8 pouces,Avant | Arrière,,Tissu,Électriques | Réglage lombaire | Banquette arrière coulissante,Conducteur et passager,Ouvrant | Panoramique | En verre,Cuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/audi/q3/35-tfsi-s-tronic-advanced-line,6.9 L/100 km,5.1 L/100 km,,,,,,Progressive,,,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,Cuir,Démarrage mains libres,,,Aluminium brossé | Argent micrométallique,Parebrise athermique | Acoustiques,,,,,,,Triangle de présignalisation,Pack brillance,,,,Anti-éblouissement | Sans Cadre,129 g/km,,,,,,,,Aluminium,Aluminium,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,
"GEELY TUGELLA
2.0 L TURBO 4WD GF+",Version unique,199 800 DT,Non,Disponible,SUV,5 ans ou 150000 km,5,5,4,Essence,14 CV,238 CH,350 nm 1800 tr/min,1969 CM³,Automatique,8,Intégrale,4605 mm,1878 mm,1643 mm,446 L,,6.9 s,210 KM/H,8.1 L/100 km,Frontaux | Latéraux | Rideaux,ESC | TCS,EBA | EBD | HBA | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | VDC,TPMS,Autohold | HHC,Radar de recul | Radar avant | Système de caméras 360,RMI,HDC,Feux de jour | Avant | Arrières,En aluminium | 20'',Full LED,Haut-parleurs Bose | Subwoofer,USB-C | 3 USB | Bluetooth | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12.3 pouces,Avant | Arrière,,Cuir artificiel,Électriques | 6 directions | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Eco | Offroad | Sable,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/tugella/2.0-l-turbo-4wd-gfplus,11.4 L/100 km,6.3 L/100 km,,,,LKA,,,Adaptatif (ACC),TSI,Pare-chocs | Poignées de portes,,,,Démarrage mains libres,Accès mains libres,,,,,,,,,,,,,,,,,,,,LDW,,IHC,BSD,Acier inoxydable | Eclairés,,,Alcantara,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW X1,"18i sDrive Collection ""Edition Spéciale""",169 900 DT,Non,45 jours,SUV,5 ans (2+3),5,5,3,Essence,9 CV,156 CH,240 nm 1500 tr/min,1499 CM³,Automatique,7,Traction,4500 mm,1845 mm,1642 mm,540 L,,8.1 s,221 KM/H,5.9 L/100 km,Frontaux | Latéraux | Rideaux,TCS | DSC,,,Autohold,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Avant | Arrières,En aluminium | 17'',Adaptatifs | LED,Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.7 pouces | Curved Display,Avant,3,Tissu | Arktur anthrazit,,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique,À distance,Éléctrique,Sport | Personal | Efficient,Électriques | Rabattables | Dégivrants,10.25 pouces | BMW Live Plus,Avant/Arrière,https://www.automobile.tn/fr/neuf/bmw/x1/18i-sdrive-collection-edition-speciale#specs,7.1 L/100 km,5.2 L/100 km,,,,,,,,,,Métallisée | +5000 DT,,,,Accès mains libres,,Noir brillant,Calorifuges,,,,,,,Triangle de présignalisation,Noir Brillant,,,,Anti-éblouissement,,,,,,,,,,Alu satiné,,,,,,,,,,,,,,,,Velours,,,,,,,,,,,,,,
HYUNDAI STARIA 9 PLACES,2.2 CRDI,199 950 DT,Non,Disponible,Monospace,5 ans ou 100000 km,9,5,4,Diesel,11 CV,177 CH,430 nm 1500 tr/min,2199 CM³,Manuelle,6,Traction,5253 mm,1997 mm,1990 mm,,,12.4 s,185 KM/H,8.7 L/100 km,Frontaux | Latéraux,,,,,,,,,,,,2 USB | Bluetooth,,,,Tissu,,,,Multi-fonctions,En hauteur et en profondeur,,,Manuelle,À distance,,Normal | Sport | Eco,Électriques | Rabattables,,Avant,https://www.automobile.tn/fr/neuf/hyundai/staria-9-places/2.2-crdi-9-places#specs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
